Data,Time
311.0,9040.0
292.0,9051.0
310.0,9061.0
294.0,9072.0
309.0,9082.0
296.0,9093.0
307.0,9103.0
299.0,9114.0
304.0,9124.0
301.0,9135.0
301.0,9145.0
304.0,9156.0
298.0,9166.0
306.0,9177.0
295.0,9187.0
308.0,9198.0
293.0,9208.0
309.0,9219.0
292.0,9229.0
310.0,9240.0
292.0,9250.0
310.0,9261.0
292.0,9271.0
309.0,9282.0
294.0,9292.0
307.0,9303.0
296.0,9313.0
306.0,9324.0
299.0,9334.0
303.0,9345.0
302.0,9355.0
300.0,9366.0
304.0,9376.0
296.0,9387.0
307.0,9397.0
294.0,9408.0
308.0,9418.0
293.0,9428.0
309.0,9439.0
291.0,9450.0
310.0,9460.0
291.0,9470.0
310.0,9481.0
293.0,9492.0
308.0,9502.0
295.0,9512.0
307.0,9523.0
297.0,9534.0
305.0,9544.0
300.0,9554.0
302.0,9565.0
303.0,9576.0
298.0,9586.0
306.0,9596.0
295.0,9607.0
308.0,9618.0
293.0,9628.0
309.0,9638.0
292.0,9649.0
310.0,9660.0
291.0,9670.0
310.0,9680.0
292.0,9691.0
309.0,9702.0
294.0,9712.0
308.0,9722.0
296.0,9733.0
306.0,9744.0
298.0,9754.0
304.0,9764.0
301.0,9775.0
301.0,9786.0
304.0,9796.0
298.0,9806.0
307.0,9817.0
295.0,9828.0
308.0,9838.0
293.0,9848.0
309.0,9859.0
292.0,9869.0
310.0,9880.0
291.0,9890.0
310.0,9901.0
292.0,9911.0
309.0,9922.0
294.0,9932.0
307.0,9943.0
296.0,9953.0
305.0,9964.0
299.0,9974.0
303.0,9985.0
302.0,9995.0
299.0,10006.0
305.0,10016.0
296.0,10027.0
307.0,10038.0
294.0,10048.0
309.0,10058.0
292.0,10068.0
310.0,10080.0
291.0,10090.0
310.0,10100.0
292.0,10112.0
309.0,10122.0
294.0,10132.0
307.0,10142.0
296.0,10153.0
305.0,10164.0
299.0,10174.0
302.0,10185.0
302.0,10195.0
298.0,10206.0
305.0,10217.0
295.0,10227.0
307.0,10237.0
293.0,10248.0
309.0,10259.0
292.0,10269.0
310.0,10279.0
291.0,10291.0
310.0,10301.0
292.0,10311.0
309.0,10322.0
294.0,10333.0
307.0,10343.0
297.0,10353.0
305.0,10364.0
300.0,10375.0
301.0,10385.0
303.0,10396.0
298.0,10406.0
306.0,10417.0
295.0,10427.0
308.0,10438.0
293.0,10448.0
309.0,10459.0
292.0,10470.0
310.0,10480.0
291.0,10490.0
310.0,10501.0
293.0,10512.0
309.0,10522.0
295.0,10532.0
307.0,10544.0
298.0,10554.0
304.0,10564.0
301.0,10575.0
301.0,10586.0
304.0,10596.0
